Genome Size,Type,k,Build Time,Output Size
4706027,Big,0,0.22214603424072266,23198397
4706027,Big,10,112.20001721382141,76195953
4706027,Big,20,226.96581506729126,337975369
4706027,Big,30,325.5216040611267,384296073
2358578,Half,0,0.10948491096496582,11599207
2358578,Half,10,57.90805196762085,56305543
2358578,Half,20,114.64725303649902,169849181
2358578,Half,30,159.53783679008484,193066231
0,Double,0,0.21896982192993,23198414
2,Double,10,115.81610393524,112611086
2,Double,20,229.294506073,339698362
2,Double,30,319.07567358017,386132462

