Genome Size,Genome Type,k,Query Time,Query Type,Algorithm
4639676,Long,0,0.0024628639221191406,Long,simpaccel
4639676,Long,0,0.0015339851379394531,Half,simpaccel
4639676,Long,10,0.00220489501953125,Long,simpaccel
4639676,Long,10,0.0015251636505126953,Half,simpaccel
4639676,Long,20,0.006463289260864258,Long,simpaccel
4639676,Long,20,0.0015757083892822266,Half,simpaccel
4639676,Long,30,0.005213022232055664,Long,simpaccel
4639676,Long,30,0.0015711784362792969,Half,simpaccel
2319838,Half,0,0.0018229484558105469,Long,simpaccel
2319838,Half,0,0.0014388561248779297,Half,simpaccel
2319838,Half,10,0.0017518997192382812,Long,simpaccel
2319838,Half,10,0.0013861656188964844,Half,simpaccel
2319838,Half,20,0.002166748046875,Long,simpaccel
2319838,Half,20,0.0014331340789794922,Half,simpaccel
2319838,Half,30,0.0022199153900146484,Long,simpaccel
2319838,Half,30,0.0014531612396240234,Half,simpaccel
4639676,Long,0,0.0018398761749267578,Long,naive
4639676,Long,0,0.0015380382537841797,Half,naive
4639676,Long,10,0.0017888545989990234,Long,naive
4639676,Long,10,0.0014619827270507812,Half,naive
4639676,Long,20,0.006925106048583984,Long,naive
4639676,Long,20,0.001505136489868164,Half,naive
4639676,Long,30,0.003950834274291992,Long,naive
4639676,Long,30,0.0015358924865722656,Half,naive
2319838,Half,0,0.0018260478973388672,Long,naive
2319838,Half,0,0.0015099048614501953,Half,naive
2319838,Half,10,0.0017631053924560547,Long,naive
2319838,Half,10,0.0013730525970458984,Half,naive
2319838,Half,20,0.002113819122314453,Long,naive
2319838,Half,20,0.001461029052734375,Half,naive
2319838,Half,30,0.0035970211029052734,Long,naive
2319838,Half,30,0.0014426708221435547,Half,naive
