Genome Size,Genome Type,k,Query Time,Query Type,Algorithm
4639676,Long,0,0.0020363330841064453,0:407193:R,simpaccel
4639676,Long,0,0.0019941329956054688,1:4535624:R,simpaccel
4639676,Long,0,0.0017800331115722656,2:816501:R,simpaccel
4639676,Long,0,0.001734018325805664,3:3862464:R,simpaccel
4639676,Long,0,0.0018088817596435547,4:1489317:R,simpaccel
4639676,Long,0,0.0020399093627929688,5:2776995:R,simpaccel
4639676,Long,0,0.002135038375854492,6:4353899:R,simpaccel
4639676,Long,0,0.0018990039825439453,7:1042714:R,simpaccel
4639676,Long,0,0.002756834030151367,8:4209115:R,simpaccel
4639676,Long,0,0.001950979232788086,9:3303294:R,simpaccel
4639676,Long,0,0.0019910335540771484,10:3725404:R,simpaccel
4639676,Long,10,0.012343883514404297,0:407193:R,simpaccel
4639676,Long,10,0.0049059391021728516,1:4535624:R,simpaccel
4639676,Long,10,0.004032135009765625,2:816501:R,simpaccel
4639676,Long,10,0.006659984588623047,3:3862464:R,simpaccel
4639676,Long,10,0.006721973419189453,4:1489317:R,simpaccel
4639676,Long,10,0.0038928985595703125,5:2776995:R,simpaccel
4639676,Long,10,0.002228975296020508,6:4353899:R,simpaccel
4639676,Long,10,0.0032172203063964844,7:1042714:R,simpaccel
4639676,Long,10,0.00284576416015625,8:4209115:R,simpaccel
4639676,Long,10,0.002279996871948242,9:3303294:R,simpaccel
4639676,Long,10,0.001995086669921875,10:3725404:R,simpaccel
4639676,Long,20,0.009771108627319336,0:407193:R,simpaccel
4639676,Long,20,0.010859012603759766,1:4535624:R,simpaccel
4639676,Long,20,0.009395122528076172,2:816501:R,simpaccel
4639676,Long,20,0.01123809814453125,3:3862464:R,simpaccel
4639676,Long,20,0.0053670406341552734,4:1489317:R,simpaccel
4639676,Long,20,0.004539966583251953,5:2776995:R,simpaccel
4639676,Long,20,0.0029740333557128906,6:4353899:R,simpaccel
4639676,Long,20,0.0057141780853271484,7:1042714:R,simpaccel
4639676,Long,20,0.008661985397338867,8:4209115:R,simpaccel
4639676,Long,20,0.006636142730712891,9:3303294:R,simpaccel
4639676,Long,20,0.008421897888183594,10:3725404:R,simpaccel
4639676,Long,30,0.008987903594970703,0:407193:R,simpaccel
4639676,Long,30,0.003618001937866211,1:4535624:R,simpaccel
4639676,Long,30,0.002279996871948242,2:816501:R,simpaccel
4639676,Long,30,0.0039920806884765625,3:3862464:R,simpaccel
4639676,Long,30,0.0024657249450683594,4:1489317:R,simpaccel
4639676,Long,30,0.0032618045806884766,5:2776995:R,simpaccel
4639676,Long,30,0.003493070602416992,6:4353899:R,simpaccel
4639676,Long,30,0.0027289390563964844,7:1042714:R,simpaccel
4639676,Long,30,0.004111051559448242,8:4209115:R,simpaccel
4639676,Long,30,0.0025658607482910156,9:3303294:R,simpaccel
4639676,Long,30,0.0046842098236083984,10:3725404:R,simpaccel
4639676,Long,0,0.002006053924560547,0:407193:R,naive
4639676,Long,0,0.0019190311431884766,1:4535624:R,naive
4639676,Long,0,0.0017590522766113281,2:816501:R,naive
4639676,Long,0,0.0017349720001220703,3:3862464:R,naive
4639676,Long,0,0.0018401145935058594,4:1489317:R,naive
4639676,Long,0,0.002003908157348633,5:2776995:R,naive
4639676,Long,0,0.0020799636840820312,6:4353899:R,naive
4639676,Long,0,0.001798868179321289,7:1042714:R,naive
4639676,Long,0,0.002710103988647461,8:4209115:R,naive
4639676,Long,0,0.0019240379333496094,9:3303294:R,naive
4639676,Long,0,0.001931905746459961,10:3725404:R,naive
4639676,Long,10,0.0021469593048095703,0:407193:R,naive
4639676,Long,10,0.0023412704467773438,1:4535624:R,naive
4639676,Long,10,0.0020990371704101562,2:816501:R,naive
4639676,Long,10,0.0020189285278320312,3:3862464:R,naive
4639676,Long,10,0.0019311904907226562,4:1489317:R,naive
4639676,Long,10,0.0022420883178710938,5:2776995:R,naive
4639676,Long,10,0.0022330284118652344,6:4353899:R,naive
4639676,Long,10,0.0020308494567871094,7:1042714:R,naive
4639676,Long,10,0.006327152252197266,8:4209115:R,naive
4639676,Long,10,0.002073049545288086,9:3303294:R,naive
4639676,Long,10,0.0020449161529541016,10:3725404:R,naive
4639676,Long,20,0.005792856216430664,0:407193:R,naive
4639676,Long,20,0.00400090217590332,1:4535624:R,naive
4639676,Long,20,0.0025091171264648438,2:816501:R,naive
4639676,Long,20,0.0036077499389648438,3:3862464:R,naive
4639676,Long,20,0.0029201507568359375,4:1489317:R,naive
4639676,Long,20,0.00463414192199707,5:2776995:R,naive
4639676,Long,20,0.0027649402618408203,6:4353899:R,naive
4639676,Long,20,0.002223968505859375,7:1042714:R,naive
4639676,Long,20,0.0033071041107177734,8:4209115:R,naive
4639676,Long,20,0.002596139907836914,9:3303294:R,naive
4639676,Long,20,0.002560853958129883,10:3725404:R,naive
4639676,Long,30,0.005922794342041016,0:407193:R,naive
4639676,Long,30,0.0025930404663085938,1:4535624:R,naive
4639676,Long,30,0.0028579235076904297,2:816501:R,naive
4639676,Long,30,0.0023872852325439453,3:3862464:R,naive
4639676,Long,30,0.0024340152740478516,4:1489317:R,naive
4639676,Long,30,0.002202749252319336,5:2776995:R,naive
4639676,Long,30,0.0030460357666015625,6:4353899:R,naive
4639676,Long,30,0.0027718544006347656,7:1042714:R,naive
4639676,Long,30,0.0033931732177734375,8:4209115:R,naive
4639676,Long,30,0.0028269290924072266,9:3303294:R,naive
4639676,Long,30,0.0030930042266845703,10:3725404:R,naive
2319838,Half,0,0.0018391609191894531,0:407193:R,simpaccel
2319838,Half,0,0.0015201568603515625,1:4535624:R,simpaccel
2319838,Half,0,0.0016329288482666016,2:816501:R,simpaccel
